hand_rank,player_chips,current_bet,min_bet,pot,num_community_cards,action
0.1,0.99,0.1,0.2,0.03,0.0,1
0.1,0.98,0.2,0.2,0.04,0.0,1
0.2,0.98,0.2,0.2,0.04,0.6,1
0.1,0.98,0.2,0.2,0.04,0.6,1
0.2,0.98,0.2,0.2,0.04,0.8,1
0.1,0.98,0.2,0.2,0.04,0.8,1
0.2,0.98,0.2,0.2,0.04,1.0,1
0.1,0.98,0.2,0.2,0.04,1.0,1
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.2,1.0,0.1,0.2,0.03,0.0,1
0.1,0.97,0.2,0.2,0.04,0.0,0
0.2,0.99,0.2,0.2,0.04,0.6,0
0.1,0.97,0.2,0.2,0.04,0.6,0
0.2,0.99,0.2,0.2,0.04,0.8,0
0.1,0.97,0.2,0.2,0.04,0.8,0
0.2,0.99,0.2,0.2,0.04,1.0,0
0.2,0.97,0.2,0.2,0.04,1.0,0
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.2,0.99,0.1,0.2,0.03,0.0,1
0.1,0.98,0.2,0.2,0.04,0.0,0
0.2,0.98,0.2,0.2,0.04,0.6,0
0.1,0.98,0.2,0.2,0.04,0.6,0
0.2,0.98,0.2,0.2,0.04,0.8,0
0.1,0.98,0.2,0.2,0.04,0.8,0
0.5,0.98,0.2,0.2,0.04,1.0,0
0.1,0.98,0.2,0.2,0.04,1.0,0
0.1,0.97,0.1,0.2,0.03,0.0,3
0.2,1.02,0.1,0.2,0.03,0.0,1
0.1,0.95,0.2,0.2,0.04,0.0,0
0.2,1.01,0.2,0.2,0.04,0.6,0
0.2,0.95,0.2,0.2,0.04,0.6,0
0.2,1.01,0.2,0.2,0.04,0.8,0
0.2,0.95,0.2,0.2,0.04,0.8,0
0.2,1.01,0.2,0.2,0.04,1.0,0
0.2,0.95,0.2,0.2,0.04,1.0,0
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.2,0.94,0.1,0.2,0.03,0.0,1
0.1,1.03,0.2,0.2,0.04,0.0,0
0.2,0.93,0.2,0.2,0.04,0.6,0
0.1,1.03,0.2,0.2,0.04,0.6,0
0.2,0.93,0.2,0.2,0.04,0.8,0
0.1,1.03,0.2,0.2,0.04,0.8,0
0.3,0.93,0.2,0.2,0.04,1.0,0
0.2,1.03,0.2,0.2,0.04,1.0,0
0.1,1.02,0.1,0.2,0.03,0.0,3
0.1,0.97,0.1,0.2,0.03,0.0,3
0.1,1.02,0.1,0.2,0.03,0.0,3
0.1,0.97,0.1,0.2,0.03,0.0,3
0.1,1.02,0.1,0.2,0.03,0.0,3
0.1,0.97,0.1,0.2,0.03,0.0,3
0.1,1.02,0.1,0.2,0.03,0.0,3
0.1,0.97,0.1,0.2,0.03,0.0,3
0.1,1.02,0.1,0.2,0.03,0.0,3
0.1,0.97,0.1,0.2,0.03,0.0,3
0.1,1.02,0.1,0.2,0.03,0.0,3
0.1,0.97,0.1,0.2,0.03,0.0,3
0.1,1.02,0.1,0.2,0.03,0.0,3
0.1,0.97,0.1,0.2,0.03,0.0,3
0.1,1.02,0.1,0.2,0.03,0.0,3
0.1,0.97,0.1,0.2,0.03,0.0,3
0.2,1.02,0.1,0.2,0.03,0.0,1
0.1,0.95,0.2,0.2,0.04,0.0,0
0.2,1.01,0.2,0.2,0.04,0.6,0
0.1,0.95,0.2,0.2,0.04,0.6,0
0.6,1.01,0.2,0.2,0.04,0.8,0
0.2,0.95,0.2,0.2,0.04,0.8,0
0.6,1.01,0.2,0.2,0.04,1.0,0
0.2,0.95,0.2,0.2,0.04,1.0,0
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.94,0.1,0.2,0.03,0.0,3
0.1,1.05,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.2,0.99,0.1,0.2,0.03,0.0,1
0.1,0.98,0.2,0.2,0.04,0.0,0
0.2,0.98,0.2,0.2,0.04,0.6,0
0.1,0.98,0.2,0.2,0.04,0.6,0
0.2,0.98,0.2,0.2,0.04,0.8,0
0.2,0.98,0.2,0.2,0.04,0.8,0
0.2,0.98,0.2,0.2,0.04,1.0,0
0.2,0.98,0.2,0.2,0.04,1.0,0
0.1,0.97,0.1,0.2,0.03,0.0,3
0.1,1.02,0.1,0.2,0.03,0.0,3
0.2,0.97,0.1,0.2,0.03,0.0,1
0.1,1.0,0.2,0.2,0.04,0.0,0
0.4,0.96,0.2,0.2,0.04,0.6,0
0.2,1.0,0.2,0.2,0.04,0.6,0
0.8,0.96,0.2,0.2,0.04,0.8,2
0.3,1.0,0.2,0.4,0.06,0.8,1
0.8,0.94,0.4,0.4,0.08,1.0,2
0.3,0.98,0.4,0.6,0.1,1.0,2
0.8,0.92,0.6,0.8,0.12,1.0,2
0.3,0.96,0.6,1.0,0.14,1.0,2
0.8,0.9,0.8,1.2,0.16,1.0,2
0.3,0.94,0.8,1.4,0.18,1.0,2
0.8,0.88,1.0,1.6,0.2,1.0,2
0.3,0.92,1.0,1.8,0.22,1.0,2
0.8,0.86,1.2,2.0,0.24,1.0,2
0.3,0.9,1.2,2.2,0.26,1.0,2
0.8,0.84,1.4,2.4,0.28,1.0,2
0.3,0.88,1.4,2.6,0.3,1.0,2
0.8,0.82,1.6,2.8,0.32,1.0,2
0.3,0.86,1.6,3.0,0.34,1.0,2
0.8,0.8,1.8,3.2,0.36,1.0,2
0.3,0.84,1.8,3.4,0.38,1.0,2
0.8,0.78,2.0,3.6,0.4,1.0,2
0.3,0.82,2.0,3.8,0.42,1.0,2
0.8,0.76,2.2,4.0,0.44,1.0,2
0.3,0.8,2.2,4.2,0.46,1.0,2
0.8,0.74,2.4,4.4,0.48,1.0,2
0.3,0.78,2.4,4.6,0.5,1.0,2
0.8,0.72,2.6,4.8,0.52,1.0,2
0.3,0.76,2.6,5.0,0.54,1.0,2
0.8,0.7,2.8,5.2,0.56,1.0,2
0.3,0.74,2.8,5.4,0.58,1.0,2
0.8,0.68,3.0,5.6,0.6,1.0,2
0.3,0.72,3.0,5.8,0.62,1.0,2
0.8,0.66,3.2,6.0,0.64,1.0,2
0.3,0.7,3.2,6.2,0.66,1.0,2
0.8,0.64,3.4,6.4,0.68,1.0,2
0.3,0.68,3.4,6.6,0.7,1.0,2
0.8,0.62,3.6,6.8,0.72,1.0,2
0.3,0.66,3.6,7.0,0.74,1.0,2
0.8,0.6,3.8,7.2,0.76,1.0,2
0.3,0.64,3.8,7.4,0.78,1.0,2
0.8,0.58,4.0,7.6,0.8,1.0,2
0.3,0.62,4.0,7.8,0.82,1.0,2
0.8,0.56,4.2,8.0,0.84,1.0,2
0.3,0.6,4.2,8.2,0.86,1.0,2
0.8,0.54,4.4,8.4,0.88,1.0,2
0.3,0.58,4.4,8.6,0.9,1.0,2
0.8,0.52,4.6,8.8,0.92,1.0,2
0.3,0.56,4.6,9.0,0.94,1.0,2
0.8,0.5,4.8,9.2,0.96,1.0,2
0.3,0.54,4.8,9.4,0.98,1.0,2
0.8,0.48,5.0,9.6,1.0,1.0,2
0.3,0.52,5.0,9.8,1.02,1.0,2
0.8,0.46,5.2,10.0,1.04,1.0,2
0.3,0.5,5.2,10.2,1.06,1.0,2
0.8,0.44,5.4,10.4,1.08,1.0,2
0.3,0.48,5.4,10.6,1.1,1.0,2
0.8,0.42,5.6,10.8,1.12,1.0,2
0.3,0.46,5.6,11.0,1.14,1.0,2
0.8,0.4,5.8,11.2,1.16,1.0,2
0.3,0.44,5.8,11.4,1.18,1.0,2
0.8,0.38,6.0,11.6,1.2,1.0,2
0.3,0.42,6.0,11.8,1.22,1.0,2
0.8,0.36,6.2,12.0,1.24,1.0,2
0.3,0.4,6.2,12.2,1.26,1.0,2
0.8,0.34,6.4,12.4,1.28,1.0,2
0.3,0.38,6.4,12.6,1.3,1.0,2
0.8,0.32,6.6,12.8,1.32,1.0,2
0.3,0.36,6.6,13.0,1.34,1.0,2
0.8,0.3,6.8,13.2,1.36,1.0,2
0.3,0.34,6.8,13.4,1.38,1.0,2
0.8,0.28,7.0,13.6,1.4,1.0,2
